bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,0,0,0,,193,6537,ase,amer1248,{},33.8117,language,-81.6121,,American Sign Language,'American Sign Language [amer1248][ase]-l-':1,9149,safe
False,0,0,0,,369,1663,NOCODE_American-Indian-Pidgin-English,amer1255,{},,language,,,American Indian Pidgin English,'American Indian Pidgin English [amer1255]-l-':1,3101,safe
True,0,0,0,,120,120,,amer1256,{},,language,,,Amerax,'Amerax [amer1256][aex]-l-':1,908,safe
False,2,0,0,,21,17883,ifa,amga1235,{},16.9016,language,121.042,,Amganad Ifugao,"('Banaue Ifugao [bana1290]':1,'Burnay Ifugao [burn1237]':1)'Amganad Ifugao [amga1235][ifa]-l-':1",19656,safe
False,0,0,0,,376,12229,amh,amha1245,{},11.708182,language,39.543456,,Amharic,'Amharic [amha1245][amh]-l-':1,14815,safe
False,0,0,0,,410,3375,amy,amii1238,{},-13.5573,language,130.04,,Ami,'Ami [amii1238][amy]-l-':1,5079,safe
True,0,0,0,,120,120,,amik1238,{},,language,,,Amikoana,'Amikoana [amik1238][akn]-l-':1,1152,safe
False,5,0,0,,21,3558,ami,amis1246,{},23.0917,language,121.348,,Amis,"('Central Amis [cent2104]':1,'Chengkung-Kwangshan [chen1258]':1,'Northern Amis [nort2901]':1,'Southern Amis [sout2929]':1,'Tavalong-Vataan [tava1241]':1)'Amis [amis1246][ami]-l-':1",5408,vulnerable
True,0,0,0,,120,120,qgg,ammo1234,{},,language,,,Ammonite,'Ammonite [ammo1234][qgg]-l-':1,940,extinct
False,0,0,0,,353,3019,alx,amol1235,{},-3.46843,language,142.532,,Mol,'Mol [amol1235][alx]-l-':1,4743,safe
False,0,0,0,,383,9671,mbz,amol1236,{},16.6521,language,-97.4518,,Amoltepec Mixtec,'Amoltepec Mixtec [amol1236][mbz]-l-':1,12463,safe
False,0,0,0,,10,12959,amo,amoo1242,{},10.3229,language,8.65405,,Amo,'Amo [amoo1242][amo]-l-':1,15574,safe
False,0,0,0,,376,7110,NOCODE_Amorite,amor1239,{},,language,,,Amorite,'Amorite [amor1239]-l-':1,9496,extinct
False,0,0,0,,37,37,NOCODE_Amotomanco,amot1239,{},,language,,,Amotomanco,'Amotomanco [amot1239]-l-':1,581,safe
False,0,0,0,,30,481,aqd,ampa1238,{},14.15,language,-3.55,,Ampari Dogon,'Ampari Dogon [ampa1238][aqd]-l-':1,1978,safe
False,0,0,0,,21,7852,apg,ampa1239,{},-0.79259,language,116.349,,Ampanang,'Ampanang [ampa1239][apg]-l-':1,10562,safe
False,0,0,0,,151,4197,ajz,amri1238,{},26.024,language,91.482,,Amri Karbi,'Amri Karbi [amri1238][ajz]-l-':1,6300,safe
False,0,0,0,,61,61,amt,amto1250,{},-4.12165,language,141.339,,Amto,'Amto [amto1250][amt]-l-':1,660,safe
False,0,0,0,,298,6768,adw,amun1246,{},-9.04023,language,-62.3064,,Amundava,'Amundava [amun1246][adw]-l-':1,9283,vulnerable
False,3,0,0,,10,10063,anw,anaa1238,{},4.94832,language,7.57969,,Anaang,"('Abak [abak1242]':1,'Ikot Ekpene [ikot1238]':1,'Ukanafun [ukan1238]':1)'Anaang [anaa1238][anw]-l-':1",12740,safe
False,0,0,0,,21,17862,akg,anak1240,{},-9.63425,language,119.605,,Anakalangu,'Anakalangu [anak1240][akg]-l-':1,19626,safe
False,2,0,0,,151,4191,anm,anal1239,{},24.0506,language,94.2806,,Anal,"('Laizo [laiz1241]':1,'Mulsom [muls1238]':1)'Anal [anal1239][anm]-l-':1",6280,vulnerable
False,0,0,0,,50,8148,pda,anam1247,{},-4.68869,language,145.051,,Anam,'Anam [anam1247][pda]-l-':1,10833,safe
False,0,0,0,,50,8148,imi,anam1248,{},-4.63762,language,144.991,,Anamuxra,'Anamuxra [anam1248][imi]-l-':1,10832,safe
False,0,0,0,,298,12059,aan,anam1249,{},-2.71119,language,-49.303,,Anambé,'Anambé [anam1249][aan]-l-':1,14703,critically endangered
True,0,0,0,,120,120,bpo,anas1239,{},-1.73908,language,137.716,,Anasi,'Anasi [anas1239][bpo]-l-':1,946,safe
False,0,0,0,,30,3596,dti,anat1248,{},14.6669,language,-3.1168,,Ana Tinga Dogon,'Ana Tinga Dogon [anat1248][dti]-l-':1,5445,safe
False,0,0,0,,79,3907,NOCODE_Anauya,anau1243,{},,language,,,Anauyá,'Anauyá [anau1243]-l-':1,5860,extinct
False,0,0,0,,395,395,acb,anca1236,{},6.66524,language,11.1087,,Áncá,'Áncá [anca1236][acb]-l-':1,1767,safe
False,6,0,0,,89,2205,grc,anci1242,{},39.8155,language,21.9129,,Ancient Greek,"('Aeolic [aeol1234]':1,'Arcadocypriot [arca1234]':1,'Attic [atti1240]':1,'Doric [dori1248]':1,'Ionic [ioni1244]':1,'Northwestern Ancient Greek [nort3269]':1)'Ancient Greek [anci1242][grc]-l-':1",3937,extinct
False,0,0,0,,376,12221,hbo,anci1244,{},31.7761,language,35.1725,,Ancient Hebrew,'Ancient Hebrew [anci1244][hbo]-l-':1,14802,extinct
False,6,0,0,,376,7109,xna,anci1245,{},,language,,,Ancient North Arabian,"('Dadanitic [dada1236]':1,'Dumaitic [duma1255]':1,'Hasaitic [hasa1249]':1,'Hismaic [hism1236]':1,'Safaitic [safa1245]':1,'Taymanitic [taym1240]':1)'Ancient North Arabian [anci1245][xna]-l-':1",9492,extinct
False,0,0,0,,37,37,NOCODE_Ancient-Ligurian,anci1248,{},,language,,,Ancient Ligurian,'Ancient Ligurian [anci1248]-l-':1,507,extinct
False,0,0,0,,89,11185,hca,anda1280,{},11.676,language,92.738,,Andaman Creole Hindi,'Andaman Creole Hindi [anda1280][hca]-l-':1,14077,safe
False,0,0,0,,419,419,afd,anda1283,{},-4.96449,language,143.637,,Andai,'Andai [anda1283][afd]-l-':1,1834,safe
